,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,Ship Mode,Segment,ContingencySimilarity,0.0,,
1,Ship Mode,Country,ContingencySimilarity,0.0,,
2,Ship Mode,State,ContingencySimilarity,1.1102230246251565e-16,,
3,Ship Mode,Postal Code,ContingencySimilarity,0.0,,
4,Ship Mode,Region,ContingencySimilarity,0.0,,
5,Ship Mode,Category,ContingencySimilarity,0.0,,
6,Ship Mode,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
7,Ship Mode,Sales,ContingencySimilarity,1.1102230246251565e-16,,
8,Ship Mode,Quantity,ContingencySimilarity,0.0,,
9,Ship Mode,Discount,ContingencySimilarity,1.1102230246251565e-16,,
10,Ship Mode,Profit,ContingencySimilarity,-2.220446049250313e-16,,
11,Segment,Country,ContingencySimilarity,0.0,,
12,Segment,State,ContingencySimilarity,1.1102230246251565e-16,,
13,Segment,Postal Code,ContingencySimilarity,0.0,,
14,Segment,Region,ContingencySimilarity,0.0,,
15,Segment,Category,ContingencySimilarity,0.0,,
16,Segment,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
17,Segment,Sales,ContingencySimilarity,2.220446049250313e-16,,
18,Segment,Quantity,ContingencySimilarity,0.0,,
19,Segment,Discount,ContingencySimilarity,1.1102230246251565e-16,,
20,Segment,Profit,ContingencySimilarity,1.1102230246251565e-16,,
21,Country,State,ContingencySimilarity,1.1102230246251565e-16,,
22,Country,Postal Code,ContingencySimilarity,0.0,,
23,Country,Region,ContingencySimilarity,0.0,,
24,Country,Category,ContingencySimilarity,0.0,,
25,Country,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
26,Country,Sales,ContingencySimilarity,1.1102230246251565e-16,,
27,Country,Quantity,ContingencySimilarity,0.0,,
28,Country,Discount,ContingencySimilarity,1.1102230246251565e-16,,
29,Country,Profit,ContingencySimilarity,0.0,,
30,State,Postal Code,ContingencySimilarity,0.0,,
31,State,Region,ContingencySimilarity,0.0,,
32,State,Category,ContingencySimilarity,0.0,,
33,State,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
34,State,Sales,ContingencySimilarity,1.1102230246251565e-16,,
35,State,Quantity,ContingencySimilarity,0.0,,
36,State,Discount,ContingencySimilarity,1.1102230246251565e-16,,
37,State,Profit,ContingencySimilarity,-2.220446049250313e-16,,
38,Postal Code,Region,ContingencySimilarity,0.0,,
39,Postal Code,Category,ContingencySimilarity,0.0,,
40,Postal Code,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
41,Postal Code,Sales,ContingencySimilarity,1.1102230246251565e-16,,
42,Postal Code,Quantity,ContingencySimilarity,0.0,,
43,Postal Code,Discount,ContingencySimilarity,1.1102230246251565e-16,,
44,Postal Code,Profit,ContingencySimilarity,-2.220446049250313e-16,,
45,Region,Category,ContingencySimilarity,0.0,,
46,Region,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
47,Region,Sales,ContingencySimilarity,1.1102230246251565e-16,,
48,Region,Quantity,ContingencySimilarity,0.0,,
49,Region,Discount,ContingencySimilarity,1.1102230246251565e-16,,
50,Region,Profit,ContingencySimilarity,0.0,,
51,Category,Sub-Category,ContingencySimilarity,1.1102230246251565e-16,,
52,Category,Sales,ContingencySimilarity,1.1102230246251565e-16,,
53,Category,Quantity,ContingencySimilarity,0.0,,
54,Category,Discount,ContingencySimilarity,1.1102230246251565e-16,,
55,Category,Profit,ContingencySimilarity,0.0,,
56,Sub-Category,Sales,ContingencySimilarity,1.1102230246251565e-16,,
57,Sub-Category,Quantity,ContingencySimilarity,0.0,,
58,Sub-Category,Discount,ContingencySimilarity,1.1102230246251565e-16,,
59,Sub-Category,Profit,ContingencySimilarity,0.0,,
60,Sales,Quantity,ContingencySimilarity,0.5376225735441265,,
61,Sales,Discount,ContingencySimilarity,0.4363618170902541,,
62,Sales,Profit,ContingencySimilarity,0.8264958975385231,,
63,Quantity,Discount,ContingencySimilarity,0.38383029817890746,,
64,Quantity,Profit,ContingencySimilarity,0.6109665799479688,,
65,Discount,Profit,ContingencySimilarity,0.48969381628977393,,
